name,price,status,shipping,free_returns,items_sold
"Fluance IB40 Turntable Isolation Base Anti-Vibration Wood Platform, Bubble Level",$149.98,Brand New,0,False,
LUXMAN PD444 Turntable. Works On Both Speeds. Has Issues.  100 Volt Version.,"$1,200.00",Pre-Owned,120.0,False,
Victrola WSQK Record Player,$83.29,Open Box,0,True,57
Numark TTUSB Record Player Turntable US,$72.48,Pre-Owned,30.96,False,
"ANGELS HORN Vinyl Record Player, Bluetooth Turntable with Built in Speakers",$149.99,Open Box,0,True,
Dual CS 329 Fully Automatic Plug & Play Belt Drive Turntable,$297.80,Excellent - Refurbished,0,True,
Studebaker SB6053BW Retro Turntable 3 Speed AM/FM Radio Bluetooth Receiver,$89.99,Open Box,0,True,
Professional Drive Belts For Record Player Turntable 4 Pack,$11.99,Brand New,0,True,
RSD Exclusive Black Friday 2025 Wicked For Good Turntable Green,$89.00,Brand New,20.98,False,
Victor Cosmopolitan 8-in-1 Turntable Music Center w/ 3-Speed Turntable & Radio,$209.99,Brand New,0,False,
Sony PS-LX300USB Stereo Turntable - Excellent-Fully Automatic Phono - Tested,$84.50,Pre-Owned,23.9,False,
Tocadiscos De Vinilo Con Receptor Bluetooth Incorporado y Altavoces Tornamesa,$64.98,Brand New,9.9924,False,
Yamaha YP-D51 Direct Drive Record Player Turntable Confirmed Excellent Operation,$405.00,Pre-Owned,70.0,True,19
Victrola Automatic Turntable,$154.69,Open Box,0,True,6
"ONE-Q All-in-one Vinyl Record Player with Bluetooth 5.4, HiFi Turntable Built-in",$249.00,Open Box,0,True,
NEW SOL Turntable Motor by Schiit Audio Outboard AC Synchronous (400 available),$49.99,Brand New,11.0,False,
Eklectik Bluetooth GUITAR Record Player Vertical Turntable Stereo Speaker HI-FI,$269.99,Brand New,47.9924,True,
Vinyl Styl® VS-M-001 12 Inch Anti Static Cork Turntable Mat - Less Vibration - N,$17.99,Brand New,0,True,53
Technics SL-L25 Linear Drive Turntable (Powers On) audio technica 3003 cartridge,$49.99,Parts Only,32.99,False,
Victrola Automatic Turntable Model: VPT-800-BLK (Used) #b,$70.74,Pre-Owned,20.002,False,
WOCKODER KD-2008 Turntable Vinyl record player 33/45/78 built-in speaker NIB,$49.99,Brand New,11.4024,True,
Victrola HI-RES Onyx VPT-1500,$179.99,Open Box,40.0023,True,
"Hudson Hi-Fi Vinyl Turntable Mats – 12"" Alignment & Strobe Testing Mats (Protrac",$18.95,Brand New,0,False,38
Crosley C6A-RE  Belt-Drive Turntable.,$65.00,Pre-Owned,24.99,False,
"Belt Drive Turntable for Vinyl Record Player,Connect with Bluetooth Speakers",$193.99,Brand New,0,False,
Victrola Harmony VTS1300 Bluetooth 3-Speed Turntable Record Player Natural,$189.59,Pre-Owned,0,True,
TechPlay TCP4530 TR Record Player Turntable 33 45 RPM Belt Drive RCA Out,$149.95,Pre-Owned,0,False,142
Victrola Quincy VTA-200B 6-in-1 Bluetooth Record Player Turntable Mahogany,$110.00,Brand New,0,True,
Uimoso Record Player Stand 2 Tiers Wooden Turntable End Table 3 Cabinets Storage,$62.99,Brand New,0,True,50
Audio-Technica AT-LPGO-BT Full Automatic Wireless Bluetooth Belt-Drive Turntable,$169.95,Pre-Owned,0,True,
Vintage TOSHIBA SR-F770 DIRECT DRIVE Automatic Turntable W/ Manual & Box - Mint,$770.23,Pre-Owned,64.9,False,
Boytone BT-28SPW Bluetooth Classic Style CD Player Turntable with AM/FM Radio,$148.00,Open Box,0,True,56
GENUINE Audio Technica AT3600L  cartridge DIAMOND Stylus Brand New  USA seller,$18.95,Brand New,0,True,367
Victrola Journey+ Bluetooth Suitcase Record Player- Turquoise,$27.96,Open Box,14.88,True,
Audo Technica turn table.,$200.00,Pre-Owned,0,False,
Victrola Navigator 8-in-1 Bluetooth Record Player 3Speed Turntable CD no remote,$120.00,Open Box,18.58,False,
Victrola Eastwood Signature Bluetooth Record Player Turntable,$43.99,Pre-Owned,13.81,False,
House of Marley Stir It Up Belt Drive USB turntable,$72.00,Pre-Owned,24.16,False,
Technics SL-B205 Frequency Generator Servo Automatic Turntable Silver 33/45RPM,$64.65,Parts Only,23.08,False,
"TechPlay ODC107BT , Bluetooth Connection, 3-Speed Turntable FM radio",$29.95,Brand New,9.952,False,370
Solar Battery Powered Showcase 360° Rotating Turntable Jewelry Display Stand,$8.99,Brand New,0,True,158
Pfan-Stat Record Cleaning Fluid – LP Vinyl Turntable Audio Cleaner,$6.99,Brand New,0,False,
Victrola The Liberty Espresso 8-in-1 Bluetooth Turntable Record Player,$95.96,Open Box,16.67,True,
Stylish Retro Vinyl Record Player with USB Function and Bluetooth Connectivity,$67.99,Brand New,0,False,
Victrola The Lewis Mahogany 8-in-1 Bluetooth Turntable Record Player,$95.96,Open Box,14.88,True,
"One Direction Crosley record player, just trying to give it a good home!",$250.00,Pre-Owned,49.55,False,
Victrola Premiere Turntable System T1 VTTS-1-ESP - ESPRESSO New Open Box *LOOK*,$139.95,Open Box,0,False,
Turntables Record Players 100% Synthetic Oil for lubricating-Large 4oz Bottle,$16.89,Brand New,0,True,
Technics Style Headshell Black In Sealed Box Brand New  great price and quality,$18.99,Brand New,0,True,
Digitnow,$49.99,Pre-Owned,6.0,True,
Innovative Technology ITUT-201 Silver Turntable Vinyl Record Player,$49.99,Open Box,9.4524,False,
Fluance RT82 Reference Turntable with Record Weight and Vinyl Cleaning Kit,$412.99,Brand New,0,False,
New Seasonlife Turntable Record Player w/ Built-in Speakers Bluetooth 33 45 RPM,$99.99,Brand New,0,False,
Wockoder Woodgrain Turntable Record Player YS-976,$21.00,Pre-Owned,16.31,False,
Vinyl Record 3 Speed Player Wireless Bluetooth Turntable with Built-in Speakers,$43.99,Brand New,0,False,
Bluetooth Vinyl Record Turntable Portable 3 Speed Belt Drive Lavender Design,$49.99,Brand New,40.1,False,
Boytone BT-24MB Bluetooth Classic Record Player Turntable with CD USB SD AM/FM,$179.00,Brand New,0,False,
Ariston Q Deck Transcription Belt Drive Turntable w/ Andante HSP - SHOWN WORKING,$250.00,Pre-Owned,60.0024,False,
Turntable Belt Drive Vinyl Record Player with Bluetooth Connectivity Built in,$113.99,Brand New,2.99,False,
Audo Technica turn table.,$200.00,Pre-Owned,0,False,
Vinyl Record Player 9-in-1 Bluetooth Turntable CD Cassette Player FM/AM Radio,$176.57,Brand New,0,True,
Victrola HI-RES Onyx VPT-1500,$179.99,Open Box,40.0023,True,
New ANDERS NICHOLSON Model 2665 ~ 3 Speed Turntable with AM / FM Stereo Radio,$48.99,Open Box,23.08,False,
VINTAGE PIONEER AUTOMATIC RETURN STEREO TURNTABLE PL-115D TEST-WORKS,$229.99,Pre-Owned,66.11,False,
"360 Degree Rotating Turntable for Paint Spraying & Craft Projects, 10-inch Diame",$13.87,Brand New,0,True,
1 by ONE High Fidelity Belt Drive Turntable With Built-In Speakers Vinyl Player,$149.99,Open Box,40.31,False,
Crosley CR31D-WA Companion Radio - Walnut Open Box Savings!,$49.95,Open Box,0,False,21
Crosley T400D Component 2-Speed Bluetooth Turntable - Black T400D-BK,$139.99,Brand New,0,False,
Victrola The Liberty Espresso 8-in-1 Bluetooth Turntable Record Player,$95.96,Open Box,16.67,True,
"Boytone BT-28SPS Bluetooth Record Player Turntable, AM/FM, Cassette, CD Player",$179.00,Brand New,0,True,29
Pro-Ject E1 Phono Plug & Play Turntable with Built-in Phono Satin Walnut (Demo),$330.00,Pre-Owned,0,False,
